ARMA_MAT_TXT_FN008
10 10
   4.773970518622e-01   1.630057162433e-02   5.129323944044e-01   5.267449792133e-01   5.259953502221e-01   2.382799541756e-01   5.316064341607e-01   6.878613902665e-01   9.564682529105e-01   4.824906566564e-01
   6.288709247619e-01   2.428867706297e-01   8.391122346926e-01   7.699138362752e-01   8.605584785624e-02   9.706341316787e-01   3.928034335341e-02   1.659741663216e-01   5.886401331931e-01   2.158249589688e-01
   3.647844727918e-01   1.372315767860e-01   6.126398325957e-01   4.002286220902e-01   1.922138459944e-01   9.022080734848e-01   4.376375965949e-01   4.401045276039e-01   6.573040395311e-01   9.502523741453e-01
   5.134009101956e-01   8.041767542270e-01   2.960316176973e-01   8.915294520052e-01   6.632269270081e-01   8.509197867713e-01   9.318350562508e-01   8.800752362609e-01   8.586763259297e-01   9.201282537170e-01
   9.522297251747e-01   1.566790892541e-01   6.375522677030e-01   2.833147460051e-01   8.902326025489e-01   2.666657493760e-01   9.308097953586e-01   8.292010933297e-01   4.395599194987e-01   1.476600147540e-01
   9.161950680037e-01   4.009443942462e-01   5.242871900668e-01   3.524583472649e-01   3.488929352485e-01   5.397603407222e-01   7.209523430657e-01   3.303371296871e-01   9.239697889071e-01   8.810621695039e-01
   6.357117279599e-01   1.297904467815e-01   4.935829869907e-01   8.077245200089e-01   6.417132078864e-02   3.752069763724e-01   2.842934030501e-01   2.289681710438e-01   3.984366666518e-01   6.410805963171e-01
   7.172969294327e-01   1.088088020258e-01   9.727750238836e-01   9.190264739650e-01   2.002304886469e-02   7.602487363667e-01   7.385343149018e-01   8.933724145840e-01   8.147668963367e-01   4.319534182697e-01
   1.416025553558e-01   9.989245180036e-01   2.925167844130e-01   6.975527623191e-02   4.577017372743e-01   5.125353641401e-01   6.399788165651e-01   3.503601785518e-01   6.842185252738e-01   6.195964839401e-01
   6.069688762571e-01   2.182569053109e-01   7.713576977939e-01   9.493270753647e-01   6.309583832654e-02   6.677237607854e-01   3.540486797476e-01   6.866699083180e-01   9.109720307919e-01   2.810594124166e-01
